"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0043171","peptide catabolic process","2/7","23/11561",7.90288024647376e-05,0.0234715543320271,0.0145579372961359,"CTSH/ACE",2
"BP","GO:0016079","synaptic vesicle exocytosis","2/7","94/11561",0.0013376364077252,0.0951381911014321,0.0590082702206295,"DOC2A/STX4",2
"BP","GO:0002444","myeloid leukocyte mediated immunity","3/7","480/11561",0.00219660356174233,0.0951381911014321,0.0590082702206295,"CTSH/STX4/ACE",3
"BP","GO:1903305","regulation of regulated secretory pathway","2/7","135/11561",0.00273535583075046,0.0951381911014321,0.0590082702206295,"DOC2A/STX4",2
"BP","GO:0007269","neurotransmitter secretion","2/7","143/11561",0.003063329259204,0.0951381911014321,0.0590082702206295,"DOC2A/STX4",2
"BP","GO:0099643","signal release from synapse","2/7","143/11561",0.003063329259204,0.0951381911014321,0.0590082702206295,"DOC2A/STX4",2
"BP","GO:0099504","synaptic vesicle cycle","2/7","160/11561",0.00381898521273656,0.0951381911014321,0.0590082702206295,"DOC2A/STX4",2
"BP","GO:0016485","protein processing","2/7","174/11561",0.00450053764727171,0.0951381911014321,0.0590082702206295,"CTSH/ACE",2
"BP","GO:0099003","vesicle-mediated transport in synapse","2/7","179/11561",0.00475677590093313,0.0951381911014321,0.0590082702206295,"DOC2A/STX4",2
"BP","GO:0017157","regulation of exocytosis","2/7","186/11561",0.005126760607003,0.0951381911014321,0.0590082702206295,"DOC2A/STX4",2
"BP","GO:0006836","neurotransmitter transport","2/7","193/11561",0.00550979498718148,0.0951381911014321,0.0590082702206295,"DOC2A/STX4",2
"BP","GO:0001505","regulation of neurotransmitter levels","2/7","198/11561",0.00579133378027332,0.0951381911014321,0.0590082702206295,"DOC2A/STX4",2
"BP","GO:0002002","regulation of angiotensin levels in blood","1/7","10/11561",0.00604071392334316,0.0951381911014321,0.0590082702206295,"ACE",1
"BP","GO:0002003","angiotensin maturation","1/7","10/11561",0.00604071392334316,0.0951381911014321,0.0590082702206295,"ACE",1
"BP","GO:0016264","gap junction assembly","1/7","10/11561",0.00604071392334316,0.0951381911014321,0.0590082702206295,"ACE",1
"BP","GO:0048875","chemical homeostasis within a tissue","1/7","10/11561",0.00604071392334316,0.0951381911014321,0.0590082702206295,"CTSH",1
"BP","GO:0019882","antigen processing and presentation","2/7","209/11561",0.00643385255175379,0.0951381911014321,0.0590082702206295,"CTSH/ACE",2
"BP","GO:0042447","hormone catabolic process","1/7","11/11561",0.00664306133937087,0.0951381911014321,0.0590082702206295,"ACE",1
